#{"t_start": 1639234051.06112, "env_id": null}
r,l,t
-36.521984,60,1867.655012
2.939838,60,1870.270746
-16.482681,60,1871.47196
57.149242,60,1874.190561
17.85351,60,1876.222537
16.538923,60,1878.829802
20.417932,60,1880.894279
3.320257,60,1883.541765
-16.665308,60,1885.606274
49.802594,60,1888.199929
13.373067,60,1889.36491
33.616692,60,1891.438735
-3.565921,60,1894.110433
22.46386,60,1896.230441
20.243899,60,1898.815786
-30.11072,60,1900.881186
-8.966565,60,1903.521239
66.452032,60,1905.605834
44.133236,60,1907.311642
39.696252,60,1909.347788
14.593922,60,1911.97556
31.876914,60,1914.069266
-82.877486,60,1916.677663
16.742989,60,1918.713649
15.14163,60,1921.327801
13.276649,60,1923.368172
45.319674,60,1924.563118
48.519408,60,1927.196648
36.667338,60,1929.244365
17.234225,60,1931.845981
59.943029,60,1933.892893
35.400749,60,1936.572173
-34.658566,60,1938.607723
9.83976,60,1941.217837
-0.791667,60,1942.370857
-31.787087,60,1945.104534
87.146774,60,1947.154392
40.203503,60,1949.743841
-6.452059,60,1951.814144
61.152751,60,1954.407006
71.57965,60,1956.532751
19.608307,60,1959.148099
-57.270001,60,1960.32102
44.7048,60,1962.371403
52.399636,60,1964.96624
-113.769652,60,1967.070189
19.658951,60,1969.686928
53.650836,60,1971.758336
24.99677,60,1974.363483
58.231189,60,1976.438581
23.939566,60,1978.165403
67.063297,60,1980.214475
38.265625,60,1982.83798
62.307278,60,1984.88277
27.832563,60,1987.546767
-12.546765,60,1989.576759
-3.718732,60,1992.248622
60.866504,60,1994.287347
10.453816,60,1995.449121
1.638866,60,1998.070273
15.591761,60,2000.091891
33.715745,60,2002.755717
21.149949,60,2004.786031
49.868129,60,2007.384075
58.630015,60,2009.447523
33.354967,60,2012.028476
42.639751,60,2013.184895
39.32902,60,2015.831739
37.206094,60,2017.871355
58.095089,60,2020.508569
27.119409,60,2022.564608
-68.386785,60,2025.152664
31.968053,60,2027.208519
22.03173,60,2029.842176
12.790241,60,2031.011801
-7.40287,60,2033.044216
58.64951,60,2035.63665
40.280268,60,2037.65637
28.014497,60,2040.2718
56.275258,60,2042.309372
26.954604,60,2044.901446
41.306797,60,2046.94313
-6.223905,60,2048.636499
29.478493,60,2050.71174
54.367454,60,2053.386427
-47.529436,60,2055.442188
56.024098,60,2058.008534
2.500352,60,2060.0303
5.496027,60,2062.668908
6.476146,60,2064.694908
46.615962,60,2065.862653
14.026378,60,2068.463036
23.130359,60,2070.480398
47.533343,60,2073.133024
31.087122,60,2075.169896
22.764373,60,2077.800354
10.163026,60,2079.833342
9.526382,60,2082.466955
25.974678,60,2083.615516
1.925564,60,2086.211496
24.220087,60,2088.23412
57.976816,60,2090.820106
43.286726,60,2092.900195
48.846733,60,2095.517923
48.039712,60,2097.527795
36.033257,60,2100.091363
52.882967,60,2101.235349
27.200842,60,2103.336743
56.942449,60,2105.924962
15.188779,60,2107.969239
63.156174,60,2110.563849
33.589308,60,2112.597349
-55.448757,60,2115.206921
2.425878,60,2117.235214
16.22697,60,2118.929981
83.721344,60,2120.955054
42.682201,60,2123.553474
28.75968,60,2125.639853
42.025446,60,2128.20414
48.334987,60,2130.229434
49.82437,60,2132.817451
7.041898,60,2134.898928
-9.709836,60,2136.087116
7.963541,60,2138.673099
45.424437,60,2140.703427
57.571357,60,2143.296169
34.600089,60,2145.356265
-3.073013,60,2148.023842
45.984308,60,2150.062461
29.921165,60,2152.668541
20.606719,60,2153.808518
26.053498,60,2156.441165
-14.725555,60,2158.472462
35.225635,60,2161.062263
72.056073,60,2163.233389
-14.599574,60,2166.04825
26.586547,60,2168.493356
17.08819,60,2171.34631
41.564881,60,2172.660756
36.176069,60,2175.013999
52.920197,60,2177.913684
42.547171,60,2180.354804
67.736052,60,2183.255624
66.047788,60,2185.472147
47.492161,60,2188.277326
-16.883191,60,2190.304219
30.856631,60,2192.009472
-16.812561,60,2194.045729
-6.516554,60,2196.679915
23.31401,60,2198.740724
41.796709,60,2201.330816
23.462422,60,2203.360492
31.118887,60,2205.972313
28.292423,60,2207.987402
21.13522,60,2209.150814
-18.148165,60,2211.789345
-20.281284,60,2213.84647
-13.821822,60,2216.467821
33.73631,60,2218.508608
17.214914,60,2221.167699
23.080739,60,2223.22998
47.189711,60,2225.868915
0.559594,60,2227.016403
4.309793,60,2229.603121
-1.935464,60,2231.701734
13.892144,60,2234.295421
32.168161,60,2236.358887
0.557663,60,2238.946549
37.971174,60,2241.037112
17.073885,60,2243.606378
21.481,60,2244.76588
32.568221,60,2246.82183
34.414487,60,2249.41412
-2.494881,60,2251.470392
64.537716,60,2254.068149
7.07985,60,2256.180572
22.146965,60,2258.779563
6.509494,60,2260.841359
-71.19278,60,2262.591098
55.299727,60,2264.638295
30.754206,60,2267.257469
2.511077,60,2269.290563
17.533979,60,2271.90242
69.702841,60,2273.986332
-9.274874,60,2276.624982
2.562848,60,2278.679867
5.416549,60,2279.829843
27.690329,60,2282.442071
43.896981,60,2284.538898
-1.067714,60,2287.144641
15.674036,60,2289.19093
22.460796,60,2291.858612
-18.526549,60,2293.991859
59.814081,60,2296.637366
42.216566,60,2297.789858
14.470203,60,2300.391608
56.350851,60,2302.453147
64.338671,60,2305.107783
32.547202,60,2307.153474
14.645845,60,2309.744165
-41.204788,60,2311.807307
48.444112,60,2314.3971
-8.735199,60,2315.618675
19.160892,60,2317.688604
45.856843,60,2320.276247
23.552076,60,2322.333211
-9.26143,60,2324.932223
-28.918825,60,2327.030535
27.357834,60,2329.611702
21.472924,60,2331.678273
50.296375,60,2333.38351
-4.227704,60,2335.45348
15.858389,60,2338.079951
-53.978367,60,2340.129587
16.288033,60,2342.711716
17.433691,60,2344.762772
38.089145,60,2347.474089
27.521791,60,2349.516277
-18.590515,60,2350.663771
-9.449751,60,2353.246169
30.72945,60,2355.311074
61.982851,60,2357.988745
18.371322,60,2360.025484
37.769947,60,2362.616126
45.733562,60,2364.653919
34.271301,60,2367.263902
-10.576329,60,2368.449976
40.894657,60,2371.042649
-2.332447,60,2373.079344
-13.690309,60,2375.701724
63.43152,60,2377.737251
36.834625,60,2380.381399
41.360839,60,2382.427849
73.943,60,2385.024716
26.677247,60,2386.191734
24.225247,60,2388.248471
53.124383,60,2390.905006
34.945398,60,2392.938062
1.543241,60,2395.55185
-42.44914,60,2397.58774
7.01096,60,2400.220847
38.55086,60,2402.258633
21.323398,60,2403.955465
37.458815,60,2406.018566
36.762006,60,2408.615697
57.685916,60,2410.687258
-0.127573,60,2413.293884
23.762249,60,2415.349655
-51.778505,60,2418.009113
49.697597,60,2420.031942
19.420503,60,2421.21782
1.800925,60,2423.796521
53.267582,60,2425.859064
-42.633574,60,2428.449181
13.239226,60,2430.492445
48.69393,60,2433.133956
16.537804,60,2435.195151
4.155206,60,2437.794689
62.823752,60,2438.941355
53.335981,60,2441.558821
33.671158,60,2443.604359
45.822938,60,2446.224981
42.768716,60,2448.252457
19.350496,60,2450.850269
37.164119,60,2452.914362
65.762825,60,2455.515724
-2.255009,60,2456.667705
74.364246,60,2458.693673
14.359049,60,2461.270208
-40.007015,60,2463.341072
46.433833,60,2465.969912
34.73562,60,2468.036706
-3.963453,60,2470.629512
-18.911214,60,2472.791276
31.654099,60,2474.698206
65.778306,60,2476.761113
58.755184,60,2479.368098
29.747748,60,2481.405234
48.28137,60,2484.010629
23.039022,60,2486.065108
92.511641,60,2488.783814
30.860688,60,2491.059191
58.44123,60,2492.312739
-33.43724,60,2495.246148
13.077423,60,2497.510777
22.951299,60,2500.359914
29.692755,60,2502.813773
65.601985,60,2505.817368
-19.050792,60,2508.017872
17.059608,60,2510.963751
76.93933,60,2512.105392
-8.493061,60,2514.692704
5.031254,60,2516.809647
30.127601,60,2519.420842
64.953709,60,2521.476897
63.331387,60,2524.064358
3.26024,60,2526.204135
10.977182,60,2528.77934
53.549297,60,2529.918882
11.85911,60,2531.958181
28.723224,60,2534.548828
55.152878,60,2536.646186
48.390735,60,2539.275807
52.983439,60,2541.319663
53.618988,60,2543.914946
30.617869,60,2545.963142
72.240559,60,2547.710231
18.043951,60,2549.977761
50.324321,60,2552.556179
28.040746,60,2554.609116
0.155087,60,2557.240163
56.511312,60,2559.28419
45.675976,60,2561.889467
-43.807142,60,2563.922704
-2.848667,60,2565.088828
-24.365816,60,2567.706106
-7.18095,60,2569.752916
22.501853,60,2572.642592
81.580246,60,2574.805776
10.069662,60,2577.438024
14.636447,60,2579.541461
31.807719,60,2582.130432
57.804109,60,2583.274677
36.653495,60,2585.881078
45.660799,60,2587.913913
48.215094,60,2590.549405
50.423007,60,2592.631202
-35.706705,60,2595.250698
3.847811,60,2597.289758
48.483213,60,2599.902168
40.199246,60,2601.078599
46.181018,60,2603.10998
55.795705,60,2605.716658
41.46181,60,2607.736136
7.27381,60,2610.448348
-4.438341,60,2612.466154
49.441873,60,2615.089188
50.868587,60,2617.155501
46.048057,60,2618.850185
-15.078946,60,2620.930499
39.649466,60,2623.511041
50.585144,60,2625.56135
1.29032,60,2628.154602
46.637558,60,2630.175438
29.228282,60,2632.812797
30.628598,60,2634.849543
33.25091,60,2636.010959
67.471346,60,2638.597703
70.892605,60,2640.623444
32.128776,60,2643.252175
46.64668,60,2645.308494
39.960172,60,2647.913428
21.628276,60,2649.944885
35.13689,60,2652.582896
46.576316,60,2653.810807
44.671847,60,2656.420662
22.652725,60,2658.444654
14.0753,60,2661.03502
38.839628,60,2663.104738
14.40514,60,2665.713308
14.914677,60,2667.746891
47.124286,60,2670.32873
29.74765,60,2671.481054
54.661776,60,2673.550126
39.060111,60,2676.20176
73.533026,60,2678.21873
47.585643,60,2680.796314
43.16952,60,2682.823765
48.60872,60,2685.491912
44.268378,60,2687.516936
6.25962,60,2689.213246
41.584003,60,2691.248364
67.09857,60,2693.82462
3.386612,60,2695.932299
20.903127,60,2698.522079
28.541074,60,2700.559565
-1.434479,60,2703.147849
19.394358,60,2705.260543
48.74701,60,2706.427088
39.563644,60,2709.014604
51.956494,60,2711.039137
3.395637,60,2713.614654
44.178576,60,2715.713957
5.691309,60,2718.311095
8.572575,60,2720.344849
25.34344,60,2722.976382
67.032657,60,2724.132323
54.125687,60,2726.77119
39.082029,60,2728.797253
30.609885,60,2731.389979
35.811868,60,2733.41292
30.865667,60,2736.03353
65.190019,60,2738.126075
46.826542,60,2740.702889
52.622679,60,2741.857782
56.62458,60,2743.886557
33.818125,60,2746.522737
31.141821,60,2748.615214
28.721253,60,2751.244243
35.144138,60,2753.288496
4.902307,60,2755.91799
51.947434,60,2757.989493
-7.286299,60,2759.690774
54.512751,60,2761.719508
75.659529,60,2764.308751
12.172782,60,2766.459034
74.575778,60,2769.219431
24.684981,60,2771.22021
29.23189,60,2773.783828
5.640373,60,2775.773044
69.919169,60,2776.902132
-20.182055,60,2779.50097
38.08331,60,2781.498056
37.446725,60,2784.044028
47.846774,60,2786.031541
13.942266,60,2788.567888
42.928101,60,2790.61392
6.110288,60,2793.158675
51.302693,60,2794.297256
27.940864,60,2796.86903
42.410047,60,2798.868513
-76.766022,60,2801.477275
73.851272,60,2803.471191
66.64703,60,2806.017474
71.602621,60,2808.033548
-6.90041,60,2810.628969
1.366351,60,2811.760876
51.412076,60,2813.765314
34.175404,60,2816.314638
34.247658,60,2818.306009
10.071729,60,2820.863772
20.33136,60,2822.884309
69.965545,60,2825.439166
50.197624,60,2827.589806
10.620995,60,2829.318236
67.995554,60,2831.333076
92.170838,60,2833.910018
36.113899,60,2835.919238
34.120735,60,2838.460233
26.416398,60,2840.470059
61.260325,60,2843.081482
55.509755,60,2845.08803
58.703743,60,2846.227309
53.316425,60,2848.76182
20.830139,60,2850.763707
43.755748,60,2853.365261
3.630745,60,2855.382887
34.464944,60,2857.938738
33.103945,60,2859.941436
10.12369,60,2862.493521
21.97642,60,2863.660062
12.171434,60,2866.207911
4.162506,60,2868.262478
43.788511,60,2870.809407
21.980651,60,2872.824871
33.111428,60,2875.400706
36.371479,60,2877.408201
3.54058,60,2879.948442
-42.528245,60,2881.101213
75.049388,60,2883.100578
29.860731,60,2885.678021
50.98312,60,2887.681171
21.811654,60,2890.224796
39.111474,60,2892.28346
-0.069468,60,2894.916317
42.009605,60,2896.927421
-10.442813,60,2898.614846
46.349747,60,2900.670734
57.18097,60,2903.256135
37.163316,60,2905.381567
